Country,x,n,nDx,nKx,
EnglandWales,0,5,2,3515430,
EnglandWales,5,5,0,3708320,
EnglandWales,10,5,1,3450782,
EnglandWales,15,5,8,3270795,
EnglandWales,20,5,20,3717960,
EnglandWales,25,5,37,4022272,
EnglandWales,30,5,67,3976030,
EnglandWales,35,5,103,3900901,
EnglandWales,40,5,187,3559955,
EnglandWales,45,5,365,4005397,
EnglandWales,50,5,683,4137131,
EnglandWales,55,5,1151,3785564,
EnglandWales,60,5,1643,3234026,
EnglandWales,65,5,2204,3006776,
EnglandWales,70,5,3568,2900152,
EnglandWales,75,5,5090,1985125,
EnglandWales,80,5,7117,1491797,
EnglandWales,85,5,7423,918437,
EnglandWales,90,#REF!,7626,528959,
Spain,0,,2,4370858,
Spain,10,,5,4883447,
Spain,20,,24,4847938,
Spain,30,,63,6167588,
Spain,40,,217,7813176,
Spain,50,,657,6974009,
Spain,60,,1822,5281877,
Spain,70,,4887,3900550,
Spain,80,,8458,2309507,
Spain,90,,4417,551445,
Korea,0,,0,4148654,
Korea,10,,0,4940455,
Korea,20,,0,6806410,
Korea,30,,1,7045120,
Korea,40,,3,8389281,
Korea,50,,14,8666971,
Korea,60,,33,6344284,
Korea,70,,68,3607104,
Korea,80,,106,1899230,
Portugal,0,,0,897215,
Portugal,10,,0,1063095,
Portugal,20,,1,1086035,
Portugal,30,,0,1261879,
Portugal,40,,15,1576493,
Portugal,50,,39,1478921,
Portugal,60,,115,1286927,
Portugal,70,,252,964596,
Portugal,80,,880,661456,
Norway,0,,0,NA,
Norway,10,,0,NA,
Norway,20,,0,NA,
Norway,30,,0,NA,
Norway,40,,4,723663,
Norway,50,,6,703830,
Norway,60,,19,582495,
Norway,70,,54,435834,
Norway,80,,84,185480,
Norway,90,,68,45230,
Netherlands,0,,0,866062,
Netherlands,5,,0,917442,
Netherlands,10,,0,956315,
Netherlands,15,,1,1052019,
Netherlands,20,,0,1079925,
Netherlands,25,,3,1121863,
Netherlands,30,,3,1076906,
Netherlands,35,,7,1031293,
Netherlands,40,,5,1025388,
Netherlands,45,,23,1235719,
Netherlands,50,,44,1276856,
Netherlands,55,,95,1231532,
Netherlands,60,,157,1096839,
Netherlands,65,,318,993074,
Netherlands,70,,605,913384,
Netherlands,75,,971,608726,
Netherlands,80,,1215,422114,
Netherlands,85,,1298,250068,
Netherlands,90,,778,100963,
Netherlands,95,,288,25675,
Italy,0,,4,5090482,
Italy,10,,0,5768874,
Italy,20,,13,6201270,
Italy,30,,61,7074218,
Italy,40,,269,9242654,
Italy,50,,1105,9352231,
Italy,60,,3233,7337210,
Italy,70,,8487,5962533,
Italy,80,,12792,3555546,
Italy,90,,5284,774528,
Germany,0,,0,NA,
Germany,10,,2,"7,705,657",
Germany,20,,8,"9,800,607",
Germany,30,,20,"10,646,445",
Germany,40,,62,"10,426,257",
Germany,50,,279,"13,474,166",
Germany,60,,761,"10,302,411",
Germany,70,,1844,"7,685,929",
Germany,80,,3688,"4,594,163",
Germany,90,,1496,"780,974",
Germany,100,,50,"13,969",
France,0,,3,"7,755,755",
France,10,,3,"8,328,988",
France,20,,20,"7,470,908",
France,30,,81,"8,288,257",
France,40,,223,"8,584,449",
France,50,,824,"8,785,106",
France,60,,2134,"7,999,606",
France,70,,4039,"5,693,660",0
France,80,,6695,"3,244,543",
France,90,,3859,"912,431",
Belgium,0,,1,"3,228,894",
Belgium,25,,34,"2,956,684",
Belgium,45,,441,"3,080,528",
Belgium,65,,890,"1,147,009",
Belgium,75,,2020,"690,685",
Belgium,85,,3193,"327,606",
Austria,0,,0,435133,
Austria,5,,0,843559,
Austria,15,,0,969767,
Austria,25,,1,1206874,
Austria,35,,2,1166614,
Austria,45,,11,1358143,
Austria,55,,22,1210126,
Austria,65,,102,833470,
Austria,75,,227,609151,
Austria,85,,241,225938,
USA,0,,5,19810275,
USA,5,,7,41075169,
USA,15,,75,42970800,
USA,25,,456,45697774,
USA,35,,1168,41277888,
USA,45,,3293,41631699,
USA,55,,8205,42272636,
USA,65,,14217,30492316,
USA,75,,18319,15394374,
USA,85,,22045,6544503,