Age,Population Size,,,
0,74635,,,
1,107202,,,
2,93982,,,
3,97940,,,
4,89875,,,
5,95452,,,
6,81717,,,
7,79378,,,
8,71820,,,
9,70675,,,
10,68858,,,235191
11,61267,,,
12,57615,,,
13,57508,,,
14,51829,,,
15,53011,,,
16,52616,,,
17,57600,,,
18,61778,,,
19,65965,,,
20,67148,,,
21,78044,,,
22,91611,,,
23,107170,,,
24,121511,,,
25,125338,,,
26,140123,,,
27,162028,,,
28,174833,,,
29,173889,,,
30,184059,,,
31,170299,,,
32,155688,,,
33,155334,,,
34,151202,,,
35,157730,,,
36,131992,,,
37,117969,,,
38,132143,,,
39,122762,,,
40,119968,,,
41,118375,,,
42,116198,,,
43,109611,,,
44,115043,,,
45,132188,,,
46,134621,,,
47,154378,,,
48,146389,,,
49,166876,,,
50,110682,,,
51,125427,,,
52,121820,,,
53,143575,,,
54,192917,,,
55,162840,,,
56,97403,,,
57,77749,,,
58,102215,,,
59,128140,,,
60,139960,,,
61,125233,,,
62,114031,,,
63,130582,,,
64,109950,,,
65,103856,,,
66,91164,,,
67,89119,,,
68,88860,,,
69,77045,,,
70,76516,,,
71,65766,,,
72,49863,,,
73,49173,,,
74,41496,,,
75,41915,,,
76,47336,,,
77,41043,,,
78,32481,,,
79,36410,,,
80,32030,,,
81,32077,,,
82,29024,,,
83,25921,,,
84,25604,,,
85,17409,,,
86,14517,,,
87,13360,,,
88,9918,,,
89,8238,,,
90,6916,,,
91,5201,,,
92,4105,,,
93,3434,,,
94,2451,,,
95,1690,,,
96,1327,,,
97,884,,,
98,618,,,
99,467,,,